checked,node_id,explainer,explainer_link,prompt,choice,node_link,external_link
,,,,,No,specific-cause,
,specific-cause,,,Do you have evidence to dispute what your landlord alleges you have done?,Yes,defend-yourself,
,,,,,No,self-defence,
,60-days-notice,"Evictions for ""no fault"" require 2 months of notice.",https://www2.gov.bc.ca/gov/content/housing-tenancy/residential-tenancies/ending-a-tenancy/landlord-notice/two-month-notice,Were you given 2 months notice to move out?,Yes,15-days-since-notice,
,,,,,No,unlawful-notice,
,15-days-since-notice,"When given 2 months of notice, you have 15 days to dispute the eviction.",https://www2.gov.bc.ca/gov/content/housing-tenancy/residential-tenancies/ending-a-tenancy/landlord-notice/two-month-notice,Have more than 15 days passed since you received notice?,Yes,missed-contestation-window,
,,,,,No,bad-faith,
,bad-faith,,,Do you have evidence that the reason your landlord gave for your eviction is misleading or untrue?,Yes,defend-yourself,
,,,,,No,self-defence,
,defend-yourself,,,"If you think you have a case to dispute your eviction or your landlord's claims, you'll need to file a dispute with the Residential Tenancy Branch.",Know Your Rights,self-defence,
,,,,,Find an Advocate,find-an-advocate,
,evidence,,,Do you have evidence to counter your landlord's allegations?,"Yes, I have documentation and/or a willing witness that can provide a statement to support my version of events.",defend-yourself,
,,,,,No,self-defence,
,self-defence,,,Learn your tenant rights with the following resource from the Vancouver Tenants Union (VTU).,VTU: Eviction Self-Defence Handbook,,https://www.vancouvertenantsunion.ca/eviction_defense_handbook
,get-landlord-info,,,Use the following form letter from the Tenant Resource & Advisory Center (TRAC) to determine your landlord's information.,TRAC: Landlord's Legal Name and Address,,https://tenants.bc.ca/resources/template-letters/
,illegal-eviction,,,Use the following form letter from the Tenant Resource & Advisory Center (TRAC) to dispute your eviction.,TRAC: Illegal Eviction Notice,,https://tenants.bc.ca/resources/template-letters/
,find-an-advocate,,,The following resource can help you find an advocate.,Advocate Resource,,https://www.vancouvertenantsunion.ca/advocate_directory
,contact-the-vtu,,,Use the following resource to contact the VTU,VTU: Contact,,https://www.vancouvertenantsunion.ca/contact
,missed-contestation-window,,,"It seems likely you have missed the window to contest your eviction. To be sure, you can try contacting a legal advocate and/or reading about your rights.",Know Your Rights,self-defence,
,,,,,Find an Advocate,find-an-advocate,
,,,,,Please take some time to report your landlord here.,,https://www.vancouvertenantsunion.ca/evictions
